"word","phoneme","meaning","part_of_speech"
"aabateŋ","à à b à t é ŋ̀","pig-in-the-middle game"
"aabia","à à b í á","canna lily"
"ahabia","à h à b í á","canna lily"
"aadɔŋ","á à d ɔ́ ŋ́","plum"
"aaglɛmi","á à g l̀ ɛ̀ m í","a wild fruit"
"aaglɛmi","á à g l̀ ɛ̀ m í","a brown seed"
"aaglɛmi","á à g l̀ ɛ̀ m í","used as a game piece or counter"
"aahi","à à h ḭ","taboo"
"aahu","à à h ṵ́","continually"
"aahu","à à h ṵ́","continuously"
"aaklo","à á! k ĺ ó","scar"
"aaklo","à á! k ĺ ó","growth over a sore"
"akro","à k r̀ ó","scar"
"akro","à k r̀ ó","growth over a sore"
"akro","à k l̀ ó","scar"
"akro","à k l̀ ó","growth over a sore"
"aakpleke","à à kp ĺ é! k é","anticlimax"
"aakwɔ","à à kʷ ɔ̀","climax"
"aanyɛkoo","à á ɲ ɛ̀ k ó ó","a greeting addressed to two or more people at work"
"aanyɛkoo","à é ɲ ɛ̀ k ó ó","a greeting addressed to two or more people at work"
"aanyɛle","á à ɲ ɛ̀ l é","deinbollia pinnata plant"
"aanyɛle","á à ɲ è l é","deinbollia pinnata plant"
"aashikoŋ","à à ʃ í k ò ǹ","antonym"
"aatrɛ","à á! t ŕ ɛ́","a kind of thread used in weaving fishing nets"
"aaye","à à y ê","response to the greeting 'ayekoo'"
"aaye","à à ê","response to the greeting 'ayekoo'"
"aayeko","à á! y é! k ó","a custom, the final rite of Homowo"
"aayelebi","à á j é l è b i","name of shrub, Ritchiea reflexa"
"aayenɔ","à à ê n ɔ̰̂","a greeting used following 'ayekoo' and its response 'aaye'"
"aba","á! b á","similar appearance"
"aba","á! b á","dressing alike"
"abaawa","à b à à w á","maidservant,female house help"
"abaawa","à b l̀ à à w á","maidservant,female house help"
"abada","à b á d a̰","having a soft shell, not yet hardened, as of a newly born snail or newly germinated palm nut"
"abadai","à b à d à í","pity"
"abadai","à b à d à í","sympathy"
"abakle","à b à k ĺ é","a wristlet or bracelet worn by parents of twins, of one flat white head and two round black beads. Also used to dress corpses."
"abakle","à b à k ĺ é","small alternating white and brown beads."
"abaku","á b à k ú","A large tree. Mimusops occidentalis Linn."
"abalai","à b á l à í","Sail, tarpaulin, canvas sheet, canopy"
"abantoli","à b à ǹ t ò l í","and editble fruit; its tree. Landolphia spp."
"abaŋ","à b á ŋ̀","enjoyment"
"abaŋ","á b à ŋ́","whirlpool, in the sea"
"abaŋkpojurowa","à b à ŋ̀ kp ó! dʒ ŕ ó w á","dolphinfish. Coryphaena hippurus Linn."
"abaŋyeli","à b á! ŋ́ j é l í","enjoyment"
"abasa","à b à s á","bet, wager"
"abasaŋ","à b à s á ŋ̀","fathom, length of double are spread, including the width of the chest."
"abasaŋ","à b à s á ŋ̀","Yard measure"
"abasataa","à b à s á t à à","betting"
"abasatoo","à v à s á t ò ò","betting"
"abata","à b à t á","part of the side of a canoe"
"abayaŋ","à b à j á ŋ̀","a small strip of cloth belonging to the dead, given to the mourner to tie on the left wrist"
"abe","à b è","an animal, the bush genet"
"abe","á b é","quarrel"
"abele","à b l̀ é","maize, corn. Zea mays."
"abele-kɛ-ŋkatiɛ","à b l̀ é k ɛ̀ ŋ̀ k á ! t í ɛ́","spotted, dotted; lit:corn and groundnuts."
"abele-kɛ-ŋkatiɛ","à b l̀ é k ɛ̀ ŋ̀ k á ! t í ɛ́","black and white."
"abele-kpɔkpɔo","à b l̀ é kp ɔ́ kp ɔ́ ó","an insect that attacks on corn."
"abelekuu","à b l̀ é k ṵ̀ ṵ̀","cutting corn"
"abeŋbo","à b é ŋ̀ b ó","a reddish brown cloth"
"abeo","à b é ó","bad luck or misfortune"
"abetɔŋɔ","à b é t ɔ́ ŋ ɔ́","buffon, idiot"
"abɛ","à b ɛ̀","pincers"
"abɛ","à b ɛ́","proverb, adage; indirect speech of any kind, considered to embody wisdom and be of aesthetic value"
"abɛbia","à b ɛ̀ b ì á","a flowering plant, of the lily family"
"abɛble","à b ɛ̀ b l̀ é","name of a season, January-February"
"abɛbre","à b ɛ́ ! b ŕ é","a variety of palm fruit, very dark when unripe and deep red when ripe"
"abɛbua","à b ɛ̀ b ù á","parable, illustration, proverb, proverbial expression."
"abɛbua","à b ɛ̀ b ù á","an emblematic carving, finial of a linguists staff or a chiefs umbrella."
"abɛdaŋ","à b ɛ́ ! d á ŋ́","a variety of palm fruit, deep green when unripe."
"abɛde","à b ɛ̀ d é","commission on a sale, esp. of fish."
"abɛdɛɛ","à b ɛ̀ d ɛ̀ ɛ́","any of several marine fish: the hairy blenny, also gurnard or tubfish. Labrisomus nuchipinnis."
"abɛdɛi","à b ɛ́ d ɛ̀ í","a kind of shellfish."
"abɛɛle","à b ɛ̀ ɛ́ l e","firetongs, pincers"
"abɛi","à b ɛ̀ í","butterfly, moth"
"abɛibe","à b ɛ̀ í b è","a month, April, lit."
"abɛku","à b ɛ̀ k ú","left hand, left arm, left side"
