audio_file,text,duration
output\verses\genesis\genesis_1_verse_1.wav,Shishijee mli lɛ Nyɔŋmɔ bɔ ŋwɛi kɛ shikpɔŋ.,3.61
output\verses\genesis\genesis_1_verse_2.wav,"Ni shikpɔŋ lɛ yɛ olɛŋlɛ, ni efee flóŋŋ, ni duŋ ha nu babaoo ni ha shikpɔŋ lɛ nɔ lɛ hiɛ; ni Nyɔŋmɔ Mumɔ lɛ ha nu lɛ hiɛ.",11.14
output\verses\genesis\genesis_1_verse_3.wav,"Ni Nyɔŋmɔ fã akɛ, “La aba.” Kɛkɛ ni la ba.",4.46
output\verses\genesis\genesis_1_verse_4.wav,Ni Nyɔŋmɔ na akɛ la lɛ hi. Ni Nyɔŋmɔ gbala la lɛ kɛ duŋ lɛ mli.,5.32
output\verses\genesis\genesis_1_verse_5.wav,"Nyɔŋmɔ tsɛ la lɛ shwane, ni duŋ lɛ etsɛ lɛ nyɔɔŋ. Je na, ni je tsɛre, ni no ji klɛŋklɛŋ gbi lɛ.",8.7
output\verses\genesis\genesis_1_verse_6.wav,"Kɛkɛ ni Nyɔŋmɔ fã akɛ, “Atatu aba koni eja nu lɛ mli enyɔ.”",5.87
output\verses\genesis\genesis_1_verse_7.wav,"No hewɔ lɛ, Nyɔŋmɔ fee atatu lɛ ni eja nu lɛ mli enyɔ koni ana nu yɛ atatu lɛ shishi ni ana nu yɛ atatu lɛ yiteŋ; ni eba mli nakai.",13.17
output\verses\genesis\genesis_1_verse_8.wav,"Nyɔŋmɔ tsɛ he ni atatu lɛ yɔɔ lɛ akɛ ŋwɛi. Je na, ni je tsɛre; no ji gbi ni ji enyɔ lɛ.",8.29
output\verses\genesis\genesis_1_verse_9.wav,"Kɛkɛ ni Nyɔŋmɔ fã akɛ, “Nu ni yɔɔ ŋwɛishishi lɛ abua ehe naa yɛ he kome, koni ana shikpɔŋ gbiŋ lɛ!” Ni eba mli nakai.",11.0
output\verses\genesis\genesis_1_verse_10.wav,"Nyɔŋmɔ tsɛ he ni egbi lɛ akɛ shikpɔŋ, ni nu ni ebua ehe naa lɛ etsɛ lɛ ŋshɔ; ni Nyɔŋmɔ na akɛ ehi.",9.03
output\verses\genesis\genesis_1_verse_11.wav,"Kɛkɛ ni Nyɔŋmɔ fã akɛ, “Shikpɔŋ lɛ akwɛ̃ bai kɛ tsei kɛ jwɛi; tsei ni woɔ yibii ni wui yɔɔ mli, kɛ yeli tsei ni woɔ yibii ni wui yɔɔ mli, eko fɛɛ eko lɛ yɛ ehenɔ yɛ shikpɔŋ lɛ nɔ!” Ni eba mli nakai.",18.88
output\verses\genesis\genesis_1_verse_12.wav,"Shikpɔŋ lɛ kwɛ̃ tsei kɛ bai kɛ jwɛi; tsei ni woɔ yibii ni wui yɔɔ mli, kɛ yeli tsei ni woɔ yibii ni wui yɔɔ mli, eko fɛɛ eko kɛ ehenɔ yɛ shikpɔŋ lɛ nɔ. Ni Nyɔŋmɔ na akɛ ehi.",15.56
output\verses\genesis\genesis_1_verse_13.wav,"Ni je na, ni je tsɛre; ni no fee gbi ni ji etɛ̃ lɛ.",5.04
output\verses\genesis\genesis_1_verse_14.wav,"Kɛkɛ ni Nyɔŋmɔ fã akɛ, “Kanei aba ŋwɛi atatu lɛ mli koni amɛtsɔ̃ɔ shwane kɛ nyɔɔŋ teŋ srɔto ni amɛtsɔ̃ɔ okadii kɛ bei kɛ gbii kɛ afii,",13.52
output\verses\genesis\genesis_1_verse_15.wav,ni amɛtsɔ̃mɔ kanei yɛ ŋwɛi atatuiaŋ ni amɛtso yɛ shikpɔŋ lɛ nɔ.” Ni eba mli nakai.,8.06
output\verses\genesis\genesis_1_verse_16.wav,"Nyɔŋmɔ bɔ kanei wuji enyɔ lɛ koni ewulu lɛ aye shwane nɔ ni bibioo lɛ aye nyɔɔŋ nɔ, ni ebɔ ŋulamii lɛ hu.",10.85
output\verses\genesis\genesis_1_verse_17.wav,"Nyɔŋmɔ kɛ amɛ wo ŋwɛi atatu lɛ mli koni amɛtso yɛ shikpɔŋ lɛ nɔ,",5.78
output\verses\genesis\genesis_1_verse_18.wav,"koni amɛye shwane kɛ nyɔɔŋ nɔ, ni amɛgbala la lɛ kɛ duŋ lɛ mli. Nyɔŋmɔ na akɛ ehi.",7.89
output\verses\genesis\genesis_1_verse_19.wav,Ni je na ni je tsɛre ni no fee gbi ni ji ejwɛ lɛ.,4.69
